seed,agent,terminal_cash,overflow,slots_burned,mean_impact,decide_ms_p50,decide_ms_p95
0,market_velocity,32984.0,0,0,4798.341052631578,0.16031099949032068,0.6858532928163187
0,alpha_velocity_p0,21950.0,0,0,7843.954725523487,0.1785620115697384,0.8232060150476173
1,market_velocity,38614.0,0,0,6237.6271142109845,0.17974298680201173,0.8284294046461582
1,alpha_velocity_p0,30949.0,0,0,4463.375135135135,0.1661420101299882,0.6904777954332532
2,market_velocity,30851.0,0,0,4883.055197132617,0.16006201622076333,0.7004320155829192
2,alpha_velocity_p0,31259.0,0,0,5178.325506072874,0.16663901624269783,0.8189827145542949
3,market_velocity,28685.0,0,0,4646.8923390164755,0.16641599358990788,0.753044107113965
3,alpha_velocity_p0,44025.0,0,0,7280.139671281457,0.17622197628952563,0.7690784055739642
4,market_velocity,31829.0,0,0,4426.458533106961,0.15257499762810767,0.6849459925433621
4,alpha_velocity_p0,31369.0,0,0,4254.815145973041,0.15333399642258883,0.6935581011930481
5,market_velocity,21134.0,0,0,7849.059904306219,0.15061700833030045,0.8050468051806092
5,alpha_velocity_p0,37894.0,0,0,8275.82446963092,0.17084000864997506,0.8068598021054642
6,market_velocity,31113.0,0,0,4671.5341660166105,0.16659300308674574,0.706623907899484
6,alpha_velocity_p0,31889.0,0,0,4378.763463497454,0.15830399934202433,0.6908636016305537
7,market_velocity,32492.0,0,0,4725.027368421052,0.14404300600290298,0.6754860136425125
7,alpha_velocity_p0,31341.0,0,0,4976.693387581129,0.13859799946658313,0.6825427990406752
8,market_velocity,29730.0,0,0,6046.51850043592,0.17421197844669223,0.8518865972291679
8,alpha_velocity_p0,40644.0,0,0,5476.997934158864,0.18094098777510226,0.8619909815024585
9,market_velocity,22150.0,0,0,7479.42379522006,0.17309401300735772,0.8142247068462893
9,alpha_velocity_p0,33409.0,0,0,6164.8421052631575,0.17878800281323493,0.8594167040428147
